address,transport_name,fingerprint,hashed_fingerprint,distributor,name,category_code,date_added,date_published,data_format_version,source,notes
fte 128.105.214.161:8080 1E326AAFB3FCB515015250D8FCCC8E37F91A153B,fte,1E326AAFB3FCB515015250D8FCCC8E37F91A153B,b88eaadb5c64dae03808c5376c4c3f4f5cb48be8,tbb,tor/bridges,ANON,2015-03-20,2014-10-02,0.1,The Tor Project,
fte 128.105.214.162:8080 FC562097E1951DCC41B7D7F324D88157119BB56D,fte,FC562097E1951DCC41B7D7F324D88157119BB56D,626ec5e8b39dbc1d1b853529cdc80d21bf4c20e1,tbb,tor/bridges,ANON,2015-03-20,2014-10-02,0.1,The Tor Project,
fte 128.105.214.163:8080 A17A40775FBD2CA1184BF80BFC330A77ECF9D0E9,fte,A17A40775FBD2CA1184BF80BFC330A77ECF9D0E9,72cfb32c9f5dfc66e971150657617fe159256d96,tbb,tor/bridges,ANON,2015-03-20,2014-10-02,0.1,The Tor Project,
fte [2001:49f0:d002:1::2]:80 B629B0B607C8AC9349B5646C24E9D242184F5B6E,fte,B629B0B607C8AC9349B5646C24E9D242184F5B6E,7c377e4f6cc8bd1bc1039f1e2da4fc2d36b2d728,tbb,tor/bridges,ANON,2015-03-20,2014-10-02,0.1,The Tor Project,
fte [2001:49f0:d00a:1::c]:80 2BD466989944867075E872310EBAD65BC88C8AEF,fte,2BD466989944867075E872310EBAD65BC88C8AEF,1ceea6f2536f333b29604408ddde106b239c0234,tbb,tor/bridges,ANON,2015-03-20,2014-10-02,0.1,The Tor Project,
scramblesuit 188.226.213.208:54278 AA5A86C1490296EF4FACA946CC5A182FCD1C5B1E password=MD2VRP7WXAMSG7MKIGMHI4CB4BMSNO7T,scramblesuit,AA5A86C1490296EF4FACA946CC5A182FCD1C5B1E,a93d775ebbdf9b1b6f2d018733b6e525e43d0797,tbb,tor/bridges,ANON,2015-03-20,2014-05-22,0.1,The Tor Project,
scramblesuit 83.212.101.3:443 A09D536DD1752D542E1FBB3C9CE4449D51298239 password=XTCXLG2JAMJKZW2POLBAOWOQETQSMASH,scramblesuit,A09D536DD1752D542E1FBB3C9CE4449D51298239,3e0908f131ac417c48ddd835d78fb6887f4cd126,tbb,tor/bridges,ANON,2015-03-20,2014-05-22,0.1,The Tor Project,
obfs4 178.209.52.110:443 67E72FF33D7D41BF11C569646A0A7B4B188340DF cert=Z+cv8z19Qb8RxWlkagp7SxiDQN++b7D2Tntowhf+j4D15/kLuj3EoSSGvuREGPc3h60Ofw iat-mode=0,obfs4,67E72FF33D7D41BF11C569646A0A7B4B188340DF,529df6950861f11e18bcfb4afc7fec11372a6175,tbb,tor/bridges,ANON,2015-03-20,2014-10-13,0.1,The Tor Project,
obfs4 83.212.101.3:41213 A09D536DD1752D542E1FBB3C9CE4449D51298239 cert=lPRQ/MXdD1t5SRZ9MquYQNT9m5DV757jtdXdlePmRCudUU9CFUOX1Tm7/meFSyPOsud7Cw iat-mode=0,obfs4,A09D536DD1752D542E1FBB3C9CE4449D51298239,3e0908f131ac417c48ddd835d78fb6887f4cd126,tbb,tor/bridges,ANON,2015-03-20,2014-10-13,0.1,The Tor Project,
obfs4 104.131.108.182:56880 EF577C30B9F788B0E1801CF7E433B3B77792B77A cert=0SFhfDQrKjUJP8Qq6wrwSICEPf3Vl/nJRsYxWbg3QRoSqhl2EB78MPS2lQxbXY4EW1wwXA iat-mode=0,obfs4,EF577C30B9F788B0E1801CF7E433B3B77792B77A,d23c8b49ccda47771540b9a26c79d7e01fc4d58c,tbb,tor/bridges,ANON,2015-03-20,2014-10-13,0.1,The Tor Project,
meek 0.0.2.0:1 url=https://meek-reflect.appspot.com/ front=www.google.com,meek,,,tbb,tor/bridges,ANON,2015-03-20,2014-08-02,0.1,The Tor Project,
meek 0.0.2.0:2 url=https://d2zfqthxsdq309.cloudfront.net/ front=a0.awsstatic.com,meek,,,tbb,tor/bridges,ANON,2015-03-20,2014-08-02,0.1,The Tor Project,
meek 0.0.2.0:3 url=https://az668014.vo.msecnd.net/ front=ajax.aspnetcdn.com,meek,,,tbb,tor/bridges,ANON,2015-03-20,2014-10-05,0.1,The Tor Project,
